               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                 133,              1.0742,              1.1776,              1.3215,             0.88326,             0.85511,             0.91485,             0.73683,             0.87056,             0.67303,              1.2355,            0.005644,            0.005644,            0.005644
                 134,              1.0835,               1.201,              1.3303,             0.88297,             0.85405,              0.9163,             0.73863,             0.86779,             0.66849,              1.2331,            0.005611,            0.005611,            0.005611
                 135,              1.0642,              1.1734,              1.3202,             0.86757,             0.86887,             0.91595,             0.74054,             0.86344,             0.66385,                1.23,            0.005578,            0.005578,            0.005578
                 136,              1.0571,              1.1635,              1.3092,             0.86734,             0.87422,             0.91853,             0.74393,             0.85819,             0.65826,              1.2267,            0.005545,            0.005545,            0.005545
                 137,              1.0615,              1.1698,              1.3158,             0.86995,             0.86792,             0.92032,             0.74669,             0.85225,             0.65482,              1.2231,            0.005512,            0.005512,            0.005512
                 138,              1.0545,              1.1445,              1.3069,             0.86554,             0.88331,             0.92203,             0.75115,             0.84779,             0.65048,              1.2194,            0.005479,            0.005479,            0.005479
                 139,              1.0542,              1.1662,              1.3088,             0.86952,             0.88144,             0.92184,             0.75088,             0.84511,             0.64806,              1.2155,            0.005446,            0.005446,            0.005446
                 140,              1.0559,              1.1551,              1.3105,              0.8769,              0.8776,             0.92234,             0.75454,             0.84114,             0.64808,              1.2102,            0.005413,            0.005413,            0.005413
                 141,              1.0449,              1.1491,              1.2982,              0.8766,              0.8705,             0.92156,             0.75316,             0.83792,             0.64793,              1.2068,             0.00538,             0.00538,             0.00538
                 142,              1.0454,              1.1394,              1.2948,             0.88418,             0.86788,             0.92282,             0.75519,             0.83507,             0.64572,              1.2035,            0.005347,            0.005347,            0.005347
                 143,              1.0356,              1.1317,              1.2958,              0.8879,             0.86793,             0.92381,             0.75749,             0.83342,             0.64358,              1.2021,            0.005314,            0.005314,            0.005314
                 144,              1.0574,              1.1438,              1.2966,             0.88556,             0.87438,             0.92382,              0.7577,             0.83104,             0.64219,              1.1995,            0.005281,            0.005281,            0.005281
                 145,               1.036,              1.1289,              1.2945,              0.8854,             0.87758,             0.92308,             0.76104,             0.82899,             0.64014,               1.197,            0.005248,            0.005248,            0.005248
                 146,              1.0289,              1.1135,              1.2893,              0.8858,             0.87764,             0.92275,             0.76136,             0.82673,             0.63851,              1.1958,            0.005215,            0.005215,            0.005215
                 147,              1.0416,              1.1416,              1.3001,              0.8822,             0.88168,              0.9228,             0.76286,             0.82285,             0.63755,              1.1918,            0.005182,            0.005182,            0.005182
                 148,              1.0182,              1.1058,              1.2836,             0.88014,             0.88497,             0.92445,             0.76353,             0.81914,             0.63658,              1.1883,            0.005149,            0.005149,            0.005149
                 149,              1.0203,              1.1197,              1.2853,             0.87314,             0.89769,             0.92466,             0.76353,             0.81637,             0.63597,              1.1859,            0.005116,            0.005116,            0.005116
                 150,              1.0142,              1.0952,               1.279,               0.877,              0.8951,             0.92468,              0.7643,             0.81418,              0.6349,              1.1843,            0.005083,            0.005083,            0.005083
                 151,              1.0138,              1.0939,              1.2737,             0.87521,             0.89498,             0.92333,             0.76202,             0.81093,             0.63442,              1.1807,             0.00505,             0.00505,             0.00505
                 152,              1.0092,              1.0984,              1.2757,             0.87509,             0.88752,             0.92066,             0.76369,             0.80871,             0.63408,              1.1792,            0.005017,            0.005017,            0.005017
                 153,              1.0136,              1.1087,              1.2855,             0.87914,             0.88372,             0.91968,             0.76233,             0.80679,             0.63377,              1.1783,            0.004984,            0.004984,            0.004984
                 154,              1.0055,              1.0907,               1.277,             0.88352,              0.8822,             0.91964,             0.76447,             0.80433,             0.63245,              1.1772,            0.004951,            0.004951,            0.004951
                 155,               1.002,              1.0936,              1.2686,             0.88188,             0.88222,             0.91931,             0.76556,             0.80206,             0.63141,              1.1754,            0.004918,            0.004918,            0.004918
                 156,              1.0099,              1.1058,              1.2767,             0.88184,             0.88095,              0.9195,             0.76588,             0.79994,              0.6294,              1.1736,            0.004885,            0.004885,            0.004885
                 157,              1.0043,              1.0892,              1.2685,             0.88371,             0.87895,             0.91966,               0.767,             0.79755,             0.62788,              1.1717,            0.004852,            0.004852,            0.004852
                 158,              1.0031,               1.089,              1.2723,             0.88901,             0.87595,             0.92001,             0.76768,             0.79545,             0.62618,              1.1702,            0.004819,            0.004819,            0.004819
