                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    125,                0.88014,                0.68559,                   1.14,                 0.8863,                0.85238,                0.90434,                0.73995,                0.84557,                0.56311,                 1.1182,               0.005908,               0.005908,               0.005908
                    126,                0.87093,                0.67619,                 1.1322,                0.90358,                0.83643,                0.90496,                0.74165,                0.84323,                0.56164,                 1.1163,               0.005875,               0.005875,               0.005875
                    127,                0.87481,                0.67919,                 1.1412,                0.89084,                0.85183,                0.90698,                0.74301,                0.84262,                0.55766,                 1.1137,               0.005842,               0.005842,               0.005842
                    128,                0.87024,                 0.6752,                 1.1363,                0.88519,                0.84967,                0.90656,                0.74334,                0.84337,                0.55496,                 1.1162,               0.005809,               0.005809,               0.005809
                    129,                0.86949,                0.67141,                 1.1361,                0.88891,                0.85002,                0.90597,                0.74418,                0.83884,                0.54963,                 1.1129,               0.005776,               0.005776,               0.005776
                    130,                0.86795,                0.66582,                  1.132,                0.88441,                0.85236,                0.90707,                0.74638,                0.83495,                0.54769,                 1.1109,               0.005743,               0.005743,               0.005743
                    131,                  0.855,                0.65766,                 1.1271,                0.89967,                 0.8427,                0.90784,                 0.7465,                0.83236,                0.54564,                 1.1096,                0.00571,                0.00571,                0.00571
                    132,                  0.851,                 0.6585,                 1.1273,                0.90378,                0.83975,                0.90893,                0.74803,                0.82779,                 0.5446,                 1.1061,               0.005677,               0.005677,               0.005677
                    133,                0.84829,                 0.6549,                 1.1251,                0.90299,                0.83877,                 0.9078,                0.74907,                0.82486,                0.54366,                 1.1033,               0.005644,               0.005644,               0.005644
                    134,                0.84539,                0.65322,                 1.1228,                0.90246,                0.84014,                0.91066,                0.74901,                0.82339,                0.54385,                 1.1027,               0.005611,               0.005611,               0.005611
                    135,                0.84541,                0.64995,                 1.1206,                0.90932,                0.83619,                0.90963,                0.75235,                 0.8212,                0.54223,                 1.1016,               0.005578,               0.005578,               0.005578
                    136,                0.82101,                0.63266,                  1.111,                0.90833,                0.84061,                0.90995,                0.75537,                0.81643,                0.53971,                 1.0983,               0.005545,               0.005545,               0.005545
                    137,                0.82673,                0.63957,                 1.1118,                0.91727,                0.83139,                0.91089,                0.75586,                0.81224,                0.53856,                 1.0961,               0.005512,               0.005512,               0.005512
                    138,                0.82092,                0.62788,                 1.1095,                0.89565,                0.84963,                0.91114,                0.75847,                0.80899,                0.53594,                 1.0935,               0.005479,               0.005479,               0.005479
                    139,                0.82084,                0.63369,                 1.1104,                0.90018,                0.84997,                0.91084,                 0.7597,                0.80635,                0.53471,                 1.0918,               0.005446,               0.005446,               0.005446
                    140,                0.81703,                0.62845,                 1.1077,                0.89608,                 0.8526,                0.91071,                0.76215,                 0.8037,                0.53298,                 1.0915,               0.005413,               0.005413,               0.005413
